O*NET-SOC Code,알기,짜기,꺼내기,다루기,돌보기,이끌기,Title
11-3111.00,3.3286666666666664,3.7100000000000004,2.275,1.2566666666666666,2.934,3.290769230769231,Compensation and Benefits Managers
11-3121.00,3.5393333333333334,4.03,2.435,1.6216666666666668,3.8280000000000003,4.1184615384615375,Human Resources Managers
11-3131.00,3.7146666666666666,3.896666666666667,2.9299999999999997,1.3733333333333333,3.5799999999999996,4.024615384615385,Training and Development Managers
11-9013.00,3.446,3.8433333333333337,3.045,3.321666666666667,3.0740000000000003,3.426153846153846,"Farmers, Ranchers, and Other Agricultural Managers"
11-9021.00,3.628666666666667,4.033333333333333,3.44,2.9250000000000003,3.482,3.8461538461538467,Construction Managers
11-9031.00,3.350666666666667,4.23,2.6950000000000003,2.0433333333333334,4.1579999999999995,4.086923076923077,"Education and Childcare Administrators, Preschool and Daycare"
11-9032.00,3.580666666666666,4.026666666666666,2.9299999999999997,1.93,4.244,4.1061538461538465,"Education Administrators, Kindergarten through Secondary"
11-9033.00,3.521333333333333,3.808333333333333,2.595,1.3183333333333334,3.2319999999999993,3.673076923076923,"Education Administrators, Postsecondary"
11-9041.00,3.7640000000000002,3.5533333333333332,4.27,1.9166666666666663,3.098,3.5184615384615388,Architectural and Engineering Managers
11-9041.01,3.927333333333333,3.5750000000000006,3.425,2.565,2.8480000000000003,3.2884615384615383,Biofuels/Biodiesel Technology and Product Development Managers
11-9051.00,3.4480000000000004,3.6983333333333337,2.865,2.8716666666666666,3.656,3.7830769230769232,Food Service Managers
11-9071.00,3.3819999999999997,3.5683333333333334,2.54,2.1283333333333334,3.5200000000000005,3.480769230769231,Gambling Managers
11-9072.00,3.347333333333333,3.831666666666667,2.9250000000000003,2.3033333333333337,3.556,3.863846153846154,"Entertainment and Recreation Managers, Except Gambling"
11-9081.00,3.322,3.8716666666666666,2.8,2.383333333333333,3.932,3.894615384615385,Lodging Managers
11-9111.00,3.814,4.173333333333333,2.82,1.9349999999999998,3.8880000000000003,4.046923076923077,Medical and Health Services Managers
11-9121.00,3.9600000000000004,4.045,2.965,2.4616666666666664,3.064,3.7353846153846155,Natural Sciences Managers
11-9121.01,3.229333333333334,3.283333333333333,2.535,2.045,3.1159999999999997,2.4053846153846155,Clinical Research Coordinators
11-9121.02,3.7153333333333336,3.4800000000000004,3.3899999999999997,1.7716666666666667,3.056,3.183076923076923,Water Resource Specialists
11-9131.00,3.552666666666667,4.005,2.5949999999999998,2.225,3.476,3.818461538461538,Postmasters and Mail Superintendents
11-9141.00,3.474666666666667,3.91,2.69,2.438333333333333,3.378,3.6000000000000005,"Property, Real Estate, and Community Association Managers"
11-9151.00,3.292,3.715,2.65,1.7816666666666663,3.59,3.3769230769230774,Social and Community Service Managers
11-9161.00,3.673333333333334,4.015000000000001,2.895,2.518333333333333,3.968,3.9038461538461537,Emergency Management Directors
11-9171.00,3.5140000000000007,3.981666666666667,3.0500000000000003,3.0533333333333332,4.3,3.6461538461538465,Funeral Home Managers
11-9179.01,3.2426666666666666,3.7766666666666673,2.8449999999999998,2.5866666666666664,3.9080000000000004,3.873076923076923,Fitness and Wellness Coordinators
11-9179.02,3.2340000000000004,4.045,3.3200000000000003,1.915,4.182,4.319230769230769,Spa Managers
11-9199.01,3.688,3.4783333333333335,2.475,1.26,2.9,3.337692307692308,Regulatory Affairs Managers
11-9199.02,3.7339999999999995,3.605,2.6799999999999997,2.0033333333333334,3.6,3.3669230769230767,Compliance Managers
11-9199.08,3.427333333333333,3.635,2.855,2.06,3.5220000000000007,3.66923076923077,Loss Prevention Managers
11-9199.09,4.0746666666666655,4.105,3.79,4.208333333333333,3.8560000000000003,4.0746153846153845,Wind Energy Operations Managers
11-9199.10,3.535333333333333,3.845,2.71,1.8500000000000003,2.9579999999999997,3.233076923076923,Wind Energy Development Managers
11-9199.11,3.6033333333333326,3.815,2.855,1.8083333333333333,2.878,3.0900000000000003,Brownfield Redevelopment Specialists and Site Managers
13-1011.00,2.916,3.301666666666667,2.6399999999999997,1.26,2.4960000000000004,2.7146153846153847,"Agents and Business Managers of Artists, Performers, and Athletes"
13-1021.00,3.528,3.266666666666666,1.87,1.4533333333333334,3.018,2.9461538461538463,"Buyers and Purchasing Agents, Farm Products"
13-1022.00,3.502666666666667,3.75,2.58,1.9233333333333336,3.068,3.144615384615385,"Wholesale and Retail Buyers, Except Farm Products"
13-1023.00,3.518666666666667,3.5683333333333334,2.715,1.5716666666666665,3.224,3.31923076923077,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
13-1031.00,3.5333333333333337,3.28,2.125,1.5133333333333334,2.8020000000000005,2.61,"Claims Adjusters, Examiners, and Investigators"
13-1032.00,3.548,3.426666666666667,2.605,2.4,3.2840000000000003,2.67,"Insurance Appraisers, Auto Damage"
